Name,Job Title,Skills,Experience (Years),Education,Certification,Location
Jason Scott,Data Analyst,"Python, Excel, Data Visualization",11,PhD,Microsoft Azure,Wilsonshire
Tammy Kelly,Data Scientist,"Machine Learning, Deep Learning, Pandas, TensorFlow, R",12,PhD,AWS Certified,East Ryan
Mariah Ho,Data Engineer,"Spark, Kafka, ETL",3,Bachelor's,Microsoft Azure,South Julian
Joel Flowers,Data Analyst,"SQL, Excel, Power BI, Data Visualization, Tableau",6,Master's,AWS Certified,Erinburgh
Randy Rodriguez,Data Engineer,"AWS, Kafka, ETL, Spark",15,PhD,AWS Certified,North Aaronfort
Bradley Silva,Data Engineer,"ETL, Python, Kafka, AWS",1,Bachelor's,Microsoft Azure,Larsonville
Vicki Barnes,AI Engineer,"AI Systems, TensorFlow, Machine Learning, Deep Learning, Python",7,Bachelor's,AWS Certified,Dunlapton
Sarah Campos,ML Engineer,"Keras, Scikit-learn, PyTorch, Python, TensorFlow, NLP",14,PhD,Microsoft Azure,Lake Kimberly
Nicholas Mckinney,Data Scientist,"TensorFlow, Deep Learning, Pandas, R, Machine Learning",10,PhD,Google Data Engineer,New Kyle
Joseph Lee,Data Scientist,"TensorFlow, Deep Learning, Machine Learning, Pandas",4,Master's,None,Amberport
Robert White,Data Scientist,"Python, Pandas, Machine Learning, Deep Learning",4,PhD,Microsoft Azure,Rossview
Michele Wilson,Data Scientist,"Machine Learning, Pandas, R, Deep Learning",5,PhD,None,Port Maryfort
Andrew Pearson,Data Analyst,"Data Visualization, SQL, Tableau, Python, Power BI, Excel",1,PhD,AWS Certified,Whiteville
Wesley Adams,Data Analyst,"Power BI, SQL, Excel, Data Visualization, Tableau, Python",13,PhD,None,South Christopherberg
Christine Burnett,ML Engineer,"NLP, Python, Scikit-learn, Keras",9,Master's,AWS Certified,Garzamouth
Victor Ryan,ML Engineer,"NLP, Scikit-learn, TensorFlow",15,Master's,Microsoft Azure,Faulknerberg
Jared Bridges,Data Scientist,"Python, Machine Learning, Pandas, Deep Learning, R, TensorFlow",7,Master's,Google Data Engineer,South Williamstad
Kimberly Brown,Data Scientist,"Python, R, Deep Learning",14,Master's,Microsoft Azure,Maddenton
Alex Carrillo,Data Engineer,"Hadoop, Spark, ETL, Kafka, Python",2,PhD,Google Data Engineer,Andrewchester
Melanie Frazier,AI Engineer,"Machine Learning, AI Systems, NLP",5,Bachelor's,Microsoft Azure,North Josephland
Lisa Dawson,Data Analyst,"Excel, Power BI, Tableau",7,PhD,Google Data Engineer,East Johnmouth
Robert Harvey,Data Analyst,"Data Visualization, Power BI, Python, SQL",11,Bachelor's,Microsoft Azure,Murphymouth
Brandi Ruiz,Data Engineer,"Python, AWS, Kafka, Spark, SQL",5,Bachelor's,Microsoft Azure,Kelleyside
Crystal Howard,Data Engineer,"AWS, Kafka, Python, Spark, ETL",10,Master's,Google Data Engineer,New Ashleymouth
Deborah Rowe,Data Engineer,"Python, Spark, SQL, Kafka, Hadoop, AWS",1,Bachelor's,None,Mariabury
Jessica Hernandez,Data Scientist,"Deep Learning, Machine Learning, Pandas",2,PhD,Google Data Engineer,East Brendashire
Laura Howe,Data Analyst,"Python, SQL, Power BI",2,PhD,Microsoft Azure,South Ericfort
Dr. Jackson Morris MD,ML Engineer,"Python, PyTorch, Scikit-learn",11,Master's,AWS Certified,Lake Alex
Wanda Kline,ML Engineer,"TensorFlow, PyTorch, Scikit-learn, Keras, NLP",12,Master's,None,Smithton
Danny Watkins,Data Analyst,"SQL, Excel, Tableau",14,PhD,None,Andersonmouth
Alisha Lawrence,AI Engineer,"Machine Learning, TensorFlow, NLP, Python, Deep Learning",1,Master's,AWS Certified,Jonathanton
Kelly Chan,Data Analyst,"Excel, SQL, Tableau, Python, Power BI, Data Visualization",9,Bachelor's,Google Data Engineer,East Crystal
Evan Haynes,ML Engineer,"Scikit-learn, NLP, Python",14,Master's,AWS Certified,East Kevin
Taylor Cline,AI Engineer,"Machine Learning, TensorFlow, NLP, AI Systems",9,Master's,Microsoft Azure,Lake Carrie
Tara Hill,AI Engineer,"NLP, Machine Learning, TensorFlow, AI Systems",5,Bachelor's,AWS Certified,North William
Zachary Juarez,Data Scientist,"Pandas, Python, Deep Learning, R, Machine Learning, TensorFlow",3,PhD,Microsoft Azure,Stephenfurt
Raymond Parks,AI Engineer,"Machine Learning, AI Systems, Deep Learning, TensorFlow, Python, NLP",9,Master's,Microsoft Azure,Schneiderhaven
Diane Robinson,ML Engineer,"Keras, Scikit-learn, Python",13,Bachelor's,Microsoft Azure,Port Harryberg
Edwin Cochran,Data Analyst,"Excel, Tableau, SQL, Python, Data Visualization",2,Master's,Microsoft Azure,Rebeccaberg
Marcus Patel,AI Engineer,"NLP, AI Systems, Python",1,Bachelor's,Google Data Engineer,Grimeston
Peggy Craig,Data Engineer,"AWS, Python, Spark, Hadoop",7,Master's,Microsoft Azure,Lynchborough
Marcus Johnston,Data Engineer,"Hadoop, ETL, Spark, SQL, Python, Kafka",1,Master's,Microsoft Azure,Smithtown
Justin Sherman,Data Scientist,"TensorFlow, Machine Learning, Deep Learning",15,PhD,AWS Certified,Terrancechester
Sara Jones,ML Engineer,"NLP, TensorFlow, Scikit-learn, PyTorch, Python, Keras",15,Master's,Microsoft Azure,Lake Cindy
Cody Turner,ML Engineer,"TensorFlow, NLP, PyTorch, Keras, Python",9,PhD,Google Data Engineer,Garzaview
Robert Kim,AI Engineer,"Machine Learning, TensorFlow, Python, NLP, Deep Learning, AI Systems",9,Master's,AWS Certified,South Kellihaven
Jennifer White,ML Engineer,"PyTorch, TensorFlow, Scikit-learn",15,Bachelor's,None,Port Whitney
Colleen Gonzalez,Data Analyst,"Excel, Python, Power BI, Tableau, SQL",3,PhD,Google Data Engineer,New Denise
Thomas Chandler,Data Analyst,"Tableau, Excel, Power BI",7,Master's,Google Data Engineer,Port Chrisview
Linda Hall,AI Engineer,"Machine Learning, AI Systems, NLP, Python, TensorFlow, Deep Learning",5,Master's,AWS Certified,North Jeffrey
Victor White,AI Engineer,"NLP, Machine Learning, TensorFlow, AI Systems",9,Bachelor's,None,Danielbury
Steven Gonzalez,Data Scientist,"R, Pandas, Deep Learning",7,Bachelor's,Google Data Engineer,New Nicholaston
Victoria Ross,AI Engineer,"Python, AI Systems, Deep Learning, TensorFlow",5,PhD,None,South Chadmouth
Todd Jenkins,ML Engineer,"TensorFlow, Scikit-learn, Python, Keras",7,Bachelor's,Microsoft Azure,Charlesburgh
Christina Meyers,Data Scientist,"R, Python, TensorFlow, Pandas",8,Bachelor's,AWS Certified,East Danielhaven
Casey Boyd,Data Analyst,"Python, Tableau, Power BI",1,PhD,AWS Certified,Kellymouth
Nicole Morales,ML Engineer,"Scikit-learn, NLP, PyTorch, Keras, Python",9,PhD,None,Goodport
Michael Palmer,Data Scientist,"Deep Learning, TensorFlow, Pandas",15,Bachelor's,Google Data Engineer,Phillipsland
Kathleen Munoz,Data Scientist,"Machine Learning, Deep Learning, Pandas, R, Python",9,Master's,Google Data Engineer,South Latasha
Samuel Robinson,Data Analyst,"Tableau, Data Visualization, Python, SQL, Power BI, Excel",2,Master's,AWS Certified,Warrenmouth
Chad Parker,Data Scientist,"Deep Learning, Pandas, Machine Learning, Python, TensorFlow",10,Bachelor's,Microsoft Azure,South Evanton
Catherine Scott,Data Analyst,"Data Visualization, Python, Power BI, Tableau, Excel, SQL",7,Bachelor's,AWS Certified,Butlerland
Sheila Shaw,Data Engineer,"Spark, SQL, Hadoop",2,PhD,AWS Certified,North Derek
Kevin Trevino,ML Engineer,"PyTorch, TensorFlow, Scikit-learn, Python, NLP",12,PhD,AWS Certified,West Regina
Jacob Odonnell,Data Engineer,"Kafka, ETL, SQL, AWS",10,Master's,Google Data Engineer,West Natashaville
Andrew Watson,Data Engineer,"Kafka, Spark, AWS, SQL, Hadoop",11,Bachelor's,Microsoft Azure,South Maxview
Pamela Guzman,Data Engineer,"SQL, Hadoop, AWS, ETL, Python",7,Bachelor's,Google Data Engineer,Olsentown
Paul Valentine,AI Engineer,"AI Systems, Machine Learning, Deep Learning, NLP, TensorFlow, Python",5,PhD,Google Data Engineer,Diazton
Casey Nelson DVM,AI Engineer,"AI Systems, Machine Learning, Python, TensorFlow",13,Master's,Google Data Engineer,Danielshire
Sean Oconnell,Data Scientist,"R, Deep Learning, Machine Learning, Python, Pandas, TensorFlow",9,Bachelor's,None,West Williamburgh
John Dunlap,Data Scientist,"R, TensorFlow, Pandas, Python, Deep Learning, Machine Learning",2,PhD,Google Data Engineer,South Renee
Shannon Wang,Data Scientist,"Machine Learning, Deep Learning, TensorFlow",14,PhD,Microsoft Azure,Amyville
Stephanie Wright,ML Engineer,"NLP, Scikit-learn, PyTorch, TensorFlow",5,Bachelor's,None,South Isaacmouth
Olivia Estes,ML Engineer,"Python, Keras, NLP, PyTorch, TensorFlow",4,Master's,Microsoft Azure,Hallhaven
Charles Hernandez,AI Engineer,"Deep Learning, Python, NLP, Machine Learning, TensorFlow, AI Systems",6,Master's,None,New Lisafurt
Andrew Nichols,Data Engineer,"Hadoop, Spark, Python, AWS",1,Bachelor's,Google Data Engineer,Lake Derek
Christine Long,Data Engineer,"Kafka, Hadoop, AWS, Python, Spark",15,Master's,None,Kimburgh
Krista Carey,AI Engineer,"TensorFlow, Deep Learning, AI Systems",15,Bachelor's,Google Data Engineer,West Christopher
Colleen Tucker,Data Scientist,"Pandas, Python, R, TensorFlow, Machine Learning",1,Bachelor's,Microsoft Azure,Shawview
Jason Taylor,AI Engineer,"Machine Learning, Deep Learning, NLP, Python",7,Master's,AWS Certified,West Misty
Suzanne Sherman,AI Engineer,"NLP, Deep Learning, Python",6,Master's,None,New Joseph
Mark Ramirez,Data Engineer,"Kafka, SQL, AWS, ETL, Hadoop",10,Bachelor's,None,Susanfurt
Daniel Johnson,ML Engineer,"Scikit-learn, TensorFlow, Python",13,PhD,Microsoft Azure,West Lisaborough
Michael Bradley,Data Scientist,"Deep Learning, Pandas, R",9,Bachelor's,Microsoft Azure,East Brandonmouth
Bailey Floyd,Data Scientist,"Deep Learning, TensorFlow, Pandas, Machine Learning, Python, R",7,Master's,Google Data Engineer,East Eric
Paula Lewis,Data Analyst,"Power BI, Tableau, SQL",12,Bachelor's,AWS Certified,New Danport
Maria Snyder,AI Engineer,"Python, TensorFlow, AI Systems, NLP, Machine Learning, Deep Learning",4,PhD,Google Data Engineer,Tommyfurt
Joel Gonzales,Data Engineer,"AWS, Kafka, SQL",1,PhD,Microsoft Azure,Torreshaven
Michael Alvarado,Data Scientist,"Pandas, Machine Learning, R, Python, Deep Learning, TensorFlow",13,Bachelor's,Microsoft Azure,Lake Melvinburgh
Joshua Hughes,ML Engineer,"Keras, Scikit-learn, TensorFlow",3,Bachelor's,Microsoft Azure,South Heathershire
Deanna Frazier,Data Analyst,"Power BI, Data Visualization, Python, Tableau",15,Master's,Microsoft Azure,East David
Jason Bridges,AI Engineer,"TensorFlow, NLP, Machine Learning",14,PhD,None,Port Benjamin
Pamela Glass,AI Engineer,"Python, Machine Learning, Deep Learning, NLP, AI Systems, TensorFlow",2,Master's,None,New Ryan
Julie Schneider,Data Engineer,"Kafka, AWS, Python, Hadoop, Spark",1,Bachelor's,None,South Stevenchester
Matthew Johnson,Data Engineer,"ETL, Spark, AWS",8,Bachelor's,Microsoft Azure,Riosville
Pamela Reid,Data Analyst,"Tableau, SQL, Data Visualization, Excel",3,Bachelor's,AWS Certified,Patelview
Michelle Burke,Data Analyst,"Excel, SQL, Tableau, Python, Power BI",4,Bachelor's,None,Port Cameronland
Alicia Nelson,Data Scientist,"Deep Learning, Pandas, Python",12,Master's,Microsoft Azure,Port James
Jonathan Newman,Data Scientist,"Pandas, R, Deep Learning",8,Bachelor's,Microsoft Azure,Saraland
Jennifer Chapman,Data Scientist,"Machine Learning, TensorFlow, R, Python, Deep Learning",11,Master's,None,Melissaville
Stacy Cook,Data Analyst,"Tableau, SQL, Power BI, Data Visualization",9,Bachelor's,AWS Certified,New Michael
Becky Sanchez,Data Engineer,"SQL, Python, AWS",9,Master's,None,Johnsonborough
Destiny Henderson,Data Analyst,"SQL, Excel, Tableau, Python, Data Visualization, Power BI",1,PhD,Microsoft Azure,West Mauriceton
Jonathan Holmes,AI Engineer,"Python, Machine Learning, NLP, AI Systems, Deep Learning",10,Master's,Google Data Engineer,East Anthonymouth
Gary Oneill,AI Engineer,"Python, Machine Learning, TensorFlow, NLP",3,Bachelor's,Google Data Engineer,Gonzalezborough
Jason Solis,Data Analyst,"Tableau, Excel, Data Visualization, Power BI, SQL",5,Master's,None,West Lynnmouth
Traci Martin,AI Engineer,"Machine Learning, Python, NLP, TensorFlow, AI Systems, Deep Learning",8,Master's,AWS Certified,Vargasside
Jennifer Martin,Data Analyst,"Python, Data Visualization, Power BI, Excel, Tableau, SQL",10,Bachelor's,AWS Certified,South Samantha
Matthew Hernandez,Data Engineer,"Kafka, AWS, Hadoop, Python, Spark",6,Bachelor's,AWS Certified,Michellehaven
Joseph Young,AI Engineer,"NLP, Python, TensorFlow, Deep Learning",4,Master's,AWS Certified,Jordanland
Jack Woodward,ML Engineer,"TensorFlow, Scikit-learn, Python, Keras, PyTorch",5,Bachelor's,AWS Certified,Macdonaldbury
Trevor Simmons,ML Engineer,"TensorFlow, Keras, Python, NLP",8,Master's,None,Lake Ianside
Paul Boyd,ML Engineer,"NLP, TensorFlow, Scikit-learn, Keras",14,PhD,None,West Alexandermouth
Jose Mccullough,ML Engineer,"Scikit-learn, Keras, TensorFlow",12,PhD,AWS Certified,Cesarburgh
Veronica Smith,Data Analyst,"Python, SQL, Power BI, Excel",12,PhD,Google Data Engineer,North Nicholaschester
Valerie Pruitt,ML Engineer,"TensorFlow, PyTorch, Scikit-learn",15,PhD,Microsoft Azure,Kimhaven
John Terry,ML Engineer,"PyTorch, Scikit-learn, Python",2,PhD,Microsoft Azure,New Cindyview
Jennifer Potter,Data Analyst,"SQL, Data Visualization, Python, Excel",15,Bachelor's,Microsoft Azure,New Christopherberg
Connie Hoover,Data Engineer,"ETL, Python, Hadoop, SQL, Kafka",14,Master's,None,South Jonathantown
Michelle Chen,Data Engineer,"Kafka, Hadoop, ETL",13,Master's,Google Data Engineer,Crystalbury
Brian Jennings,ML Engineer,"TensorFlow, Scikit-learn, Python, Keras",2,Master's,Microsoft Azure,Johnberg
Tiffany Shaffer,AI Engineer,"Deep Learning, NLP, Python, TensorFlow",1,Master's,Microsoft Azure,Alexismouth
Laura Moore,Data Analyst,"Data Visualization, Tableau, Excel, Python, Power BI",15,Bachelor's,Google Data Engineer,North Anna
Karina Garner,Data Scientist,"TensorFlow, Deep Learning, Machine Learning, Python, R",11,PhD,AWS Certified,Lake Paulport
Mrs. Katrina Castillo,Data Scientist,"Machine Learning, Deep Learning, R, TensorFlow, Pandas",12,Bachelor's,None,North Brandyfort
Adam Valdez,Data Engineer,"Python, Spark, AWS, Hadoop, ETL",10,Bachelor's,Google Data Engineer,East Terrence
Kelly Norman,ML Engineer,"Python, Scikit-learn, NLP, PyTorch, Keras",15,PhD,None,Serranoport
Ryan Gutierrez,Data Engineer,"Python, ETL, SQL, Hadoop, Spark, AWS",10,PhD,Microsoft Azure,East Melissaton
Leah Hayes,Data Analyst,"Python, Tableau, Power BI, Excel, SQL",13,Bachelor's,AWS Certified,Brianburgh
Brenda Wagner,Data Analyst,"Excel, Python, Data Visualization, SQL, Power BI, Tableau",15,PhD,AWS Certified,Randolphchester
Michele Smith DDS,AI Engineer,"AI Systems, Deep Learning, TensorFlow, NLP, Machine Learning, Python",5,Master's,AWS Certified,Lake Rachel
Richard Bennett,ML Engineer,"Scikit-learn, Keras, Python, NLP, PyTorch, TensorFlow",1,PhD,None,Nicholaston
Melissa Stephens,Data Engineer,"ETL, Kafka, Hadoop, Python, AWS",13,Master's,Google Data Engineer,Brooksland
Joshua Fernandez,Data Scientist,"R, TensorFlow, Pandas, Deep Learning, Python",11,Master's,Microsoft Azure,Marialand
Jill Fisher,Data Scientist,"Deep Learning, Python, R",12,Master's,Google Data Engineer,Drakeville
Amy Stevens,AI Engineer,"NLP, TensorFlow, Python, AI Systems",7,PhD,None,West Jasonville
Melissa Liu,Data Scientist,"R, Python, TensorFlow, Deep Learning",2,Bachelor's,None,Lake Tammy
Gabrielle Perez,Data Scientist,"R, Deep Learning, Machine Learning, Python",10,Master's,None,Port Angela
Kerry Ellis,AI Engineer,"Machine Learning, Deep Learning, NLP",1,Master's,None,Port David
Lisa Avery,AI Engineer,"TensorFlow, AI Systems, Machine Learning, Deep Learning, NLP",13,Bachelor's,Google Data Engineer,Alexandrastad
Sydney Roberts,Data Scientist,"Python, TensorFlow, Pandas, R",1,PhD,Microsoft Azure,Port Michaelfurt
Katherine Dillon,Data Engineer,"Spark, Kafka, Hadoop, ETL, Python",5,Master's,AWS Certified,Kennethborough
Kenneth Harrison,Data Analyst,"Python, Excel, Data Visualization, Power BI, SQL",9,Bachelor's,None,New Jonathanshire
Mrs. Brittany Garcia,AI Engineer,"NLP, Python, TensorFlow, Deep Learning, Machine Learning, AI Systems",15,Master's,AWS Certified,North Ethanhaven
Jennifer Cabrera,Data Engineer,"Python, Hadoop, Spark, AWS, SQL",10,Bachelor's,Microsoft Azure,North Rebecca
William Robinson,ML Engineer,"Python, TensorFlow, PyTorch, NLP, Keras, Scikit-learn",15,Bachelor's,Google Data Engineer,North Brettburgh
John Flynn,ML Engineer,"Scikit-learn, NLP, Python",9,Master's,Microsoft Azure,New Jennifer
Elizabeth Arnold,Data Analyst,"Python, Power BI, Excel",6,Master's,Microsoft Azure,Comptonhaven
James Oliver,ML Engineer,"Keras, Scikit-learn, TensorFlow, NLP",5,Bachelor's,Google Data Engineer,New Ruben
Justin Wells,Data Analyst,"Tableau, SQL, Power BI, Data Visualization",12,PhD,None,Reillyborough
Stephen Summers,Data Scientist,"Machine Learning, TensorFlow, R, Deep Learning",13,Master's,AWS Certified,North Philip
Stephen Graham,Data Engineer,"Hadoop, AWS, Kafka, Python, ETL",6,PhD,Google Data Engineer,North Erikaside
Douglas Smith,ML Engineer,"TensorFlow, Python, Scikit-learn",1,PhD,None,West Coryfort
Gregory Coleman,Data Analyst,"Excel, SQL, Power BI",12,Bachelor's,Google Data Engineer,Port Cynthia
Kimberly May,AI Engineer,"AI Systems, Deep Learning, TensorFlow, Machine Learning, Python",10,Master's,AWS Certified,South Michele
Maria Cervantes,Data Engineer,"Spark, Python, ETL, SQL",7,PhD,AWS Certified,Port Sarah
David Thomas,Data Engineer,"Kafka, Spark, SQL, Hadoop",1,PhD,None,Jasonborough
Laura Tyler,Data Scientist,"R, Python, Deep Learning, Pandas, TensorFlow, Machine Learning",1,Bachelor's,None,Smithfort
Jacqueline White,Data Analyst,"Python, Excel, Data Visualization, SQL",12,Master's,AWS Certified,Lake Melissa
Daniel Ortiz,ML Engineer,"PyTorch, NLP, Python, Keras, TensorFlow",11,PhD,Google Data Engineer,Velasquezland
Shannon Anderson,Data Scientist,"R, Pandas, Machine Learning, Deep Learning, Python",15,PhD,Microsoft Azure,South Lindabury
Tara Howard,Data Scientist,"Python, R, Deep Learning, Pandas, TensorFlow",13,PhD,AWS Certified,Yangport
Sharon Mora,Data Scientist,"Python, Deep Learning, Machine Learning, R",10,Bachelor's,Google Data Engineer,South Jasonhaven
Timothy Johnson,ML Engineer,"Scikit-learn, Keras, NLP, PyTorch",13,Master's,AWS Certified,Port Williamberg
Brandi Novak,Data Scientist,"Machine Learning, R, Pandas, Deep Learning",2,PhD,AWS Certified,Nicholsonstad
Maria Rodriguez,Data Scientist,"Python, Deep Learning, Pandas",1,PhD,Google Data Engineer,West Matthewhaven
Bradley Gonzalez,Data Engineer,"Spark, Python, ETL, AWS",11,Master's,Microsoft Azure,Georgefurt
John Thomas,Data Analyst,"Power BI, SQL, Excel, Tableau, Data Visualization, Python",2,Master's,AWS Certified,South Ashley
Jordan Charles,Data Scientist,"R, TensorFlow, Deep Learning, Python, Pandas",15,Master's,AWS Certified,New Jason
Spencer Wilson,Data Analyst,"Power BI, Excel, Python, SQL, Data Visualization",1,Master's,Microsoft Azure,East Brian
Kathleen Burke,ML Engineer,"Scikit-learn, TensorFlow, Python, PyTorch, NLP",7,PhD,None,West Reginaldtown
Rachel Henry,ML Engineer,"Scikit-learn, PyTorch, TensorFlow, NLP, Keras, Python",10,Master's,None,Nicoleside
Matthew Lam,ML Engineer,"TensorFlow, NLP, Scikit-learn, PyTorch, Keras",2,PhD,Google Data Engineer,Jasonmouth
Christopher Oliver,AI Engineer,"Machine Learning, Deep Learning, Python, NLP, AI Systems, TensorFlow",4,PhD,None,West Carlburgh
Sonya Alvarez,Data Engineer,"ETL, Kafka, Spark",12,Bachelor's,AWS Certified,Lawrencemouth
Robert Kaiser,Data Analyst,"Power BI, Tableau, SQL, Python, Excel",13,Master's,AWS Certified,Port Emily
Gary Ray,ML Engineer,"TensorFlow, Python, PyTorch, Keras, Scikit-learn",1,PhD,AWS Certified,Harrisfurt
